ano,idade,total_total,total_homens,total_mulheres,urbano_total,urbano_homens,urbano_mulheres,rural_total,rural_homens,rural_mulheres
2000,total,14391282,6900335,7490947,13821466,6603891,7217575,569816,296444,273372
2000,0 a 4 anos,1221148,621320,599828,1165603,593144,572459,55545,28176,27369
2000,5 a 9 anos,1195262,606627,588635,1138081,577529,560552,57181,29098,28083
2000,10 a 14 anos,1203229,608822,594407,1146213,579341,566872,57016,29481,27535
2000,15 a 19 anos,1316292,656590,659702,1259818,627357,632461,56474,29233,27241
2000,20 a 24 anos,1300107,641580,658527,1248838,615041,633797,51269,26539,24730
2000,25 a 29 anos,1166031,566594,599437,1121367,543632,577735,44664,22962,21702
2000,30 a 34 anos,1123899,538788,585111,1080532,516257,564275,43367,22531,20836
2000,35 a 39 anos,1134417,537330,597087,1092641,515761,576880,41776,21569,20207
2000,40 a 44 anos,1037763,488168,549595,1002110,469280,532830,35653,18888,16765
2000,45 a 49 anos,885240,411311,473929,855490,395181,460309,29750,16130,13620
2000,50 a 54 anos,725723,337488,388235,701484,324333,377151,24239,13155,11084
2000,55 a 59 anos,541417,246857,294560,521660,236223,285437,19757,10634,9123
2000,60 a 64 anos,471145,210146,260999,454122,200929,253193,17023,9217,7806
2000,65 a 69 anos,388641,166850,221791,375099,159737,215362,13542,7113,6429
2000,70 a 74 anos,302432,124230,178202,292240,118710,173530,10192,5520,4672
2000,75 a 79 anos,191140,74643,116497,184948,71377,113571,6192,3266,2926
2000,80 a 89 anos,161183,55202,105981,156037,52718,103319,5146,2484,2662
2000,90 a 99 anos,24184,7003,17181,23280,6613,16667,904,390,514
2000,100 anos,2029,786,1243,1903,728,1175,126,58,68
2000,0 anos,240427,122345,118082,229748,116960,112788,10679,5385,5294
2000,1 anos,240371,122527,117844,229634,117028,112606,10737,5499,5238
2000,2 anos,246908,125383,121525,235554,119675,115879,11354,5708,5646
2000,3 anos,248640,126529,122111,237259,120729,116530,11381,5800,5581
2000,4 anos,244802,124536,120266,233408,118752,114656,11394,5784,5610
2000,5 anos,251403,127407,123996,239318,121295,118023,12085,6112,5973
2000,6 anos,244475,124065,120410,232898,118117,114781,11577,5948,5629
2000,7 anos,237835,120870,116965,226578,115122,111456,11257,5748,5509
2000,8 anos,230716,117184,113532,219776,111655,108121,10940,5529,5411
2000,9 anos,230833,117101,113732,219511,111340,108171,11322,5761,5561
2000,10 anos,238518,121676,116842,226912,115607,111305,11606,6069,5537
2000,11 anos,242112,122429,119683,230677,116563,114114,11435,5866,5569
2000,12 anos,244415,123580,120835,232626,117444,115182,11789,6136,5653
2000,13 anos,233467,117779,115688,222649,112242,110407,10818,5537,5281
2000,14 anos,244717,123358,121359,233349,117485,115864,11368,5873,5495
2000,15 anos,246618,123507,123111,235367,117732,117635,11251,5775,5476
2000,16 anos,248522,124304,124218,237430,118552,118878,11092,5752,5340
2000,17 anos,266323,132706,133617,254798,126712,128086,11525,5994,5531
2000,18 anos,281992,140645,141347,270323,134571,135752,11669,6074,5595
2000,19 anos,272837,135428,137409,261900,129790,132110,10937,5638,5299
2000,20 anos,276789,137010,139779,265744,131292,134452,11045,5718,5327
2000,21 anos,264755,130562,134193,254571,125272,129299,10184,5290,4894
2000,22 anos,260648,128662,131986,250169,123254,126915,10479,5408,5071
2000,23 anos,253001,124960,128041,243022,119743,123279,9979,5217,4762
2000,24 anos,244914,120386,124528,235332,115480,119852,9582,4906,4676
2000,25 anos,241824,118420,123404,232332,113525,118807,9492,4895,4597
2000,26 anos,229284,111348,117936,220608,106870,113738,8676,4478,4198
2000,27 anos,235889,114373,121516,226882,109818,117064,9007,4555,4452
2000,28 anos,232954,113709,119245,223916,108969,114947,9038,4740,4298
2000,29 anos,226080,108744,117336,217629,104450,113179,8451,4294,4157
2000,30 anos,236847,114792,122055,227279,109747,117532,9568,5045,4523
2000,31 anos,216706,103457,113249,208541,99257,109284,8165,4200,3965
2000,32 anos,223334,106676,116658,214490,102178,112312,8844,4498,4346
2000,33 anos,220374,105697,114677,212052,101308,110744,8322,4389,3933
2000,34 anos,226638,108166,118472,218170,103767,114403,8468,4399,4069
2000,35 anos,236189,112664,123525,227237,107990,119247,8952,4674,4278
2000,36 anos,232704,110060,122644,224094,105658,118436,8610,4402,4208
2000,37 anos,228105,107924,120181,219849,103739,116110,8256,4185,4071
2000,38 anos,222402,105241,117161,214209,100934,113275,8193,4307,3886
2000,39 anos,215017,101441,113576,207252,97440,109812,7765,4001,3764
2000,40 anos,230304,109823,120481,221706,105284,116422,8598,4539,4059
2000,41 anos,203230,94978,108252,196613,91575,105038,6617,3403,3214
2000,42 anos,214420,101361,113059,206906,97268,109638,7514,4093,3421
2000,43 anos,198910,93197,105713,192262,89672,102590,6648,3525,3123
2000,44 anos,190899,88809,102090,184623,85481,99142,6276,3328,2948
2000,45 anos,193695,90323,103372,187007,86676,100331,6688,3647,3041
2000,46 anos,183062,85194,97868,177099,81976,95123,5963,3218,2745
2000,47 anos,173608,80259,93349,167869,77172,90697,5739,3087,2652
2000,48 anos,173081,80357,92724,167196,77145,90051,5885,3212,2673
2000,49 anos,161794,75178,86616,156319,72212,84107,5475,2966,2509
2000,50 anos,172999,80878,92121,166914,77544,89370,6085,3334,2751
2000,51 anos,145898,67791,78107,141378,65334,76044,4520,2457,2063
2000,52 anos,146115,68769,77346,141278,66113,75165,4837,2656,2181
2000,53 anos,134954,62191,72763,130513,59811,70702,4441,2380,2061
2000,54 anos,125757,57859,67898,121401,55531,65870,4356,2328,2028
2000,55 anos,119647,54480,65167,115313,52167,63146,4334,2313,2021
2000,56 anos,113606,52216,61390,109488,50002,59486,4118,2214,1904
2000,57 anos,106724,48564,58160,102879,46480,56399,3845,2084,1761
2000,58 anos,104138,47372,56766,100209,45264,54945,3929,2108,1821
2000,59 anos,97302,44225,53077,93771,42310,51461,3531,1915,1616
2000,60 anos,106823,48467,58356,102672,46201,56471,4151,2266,1885
2000,61 anos,91508,40767,50741,88321,39013,49308,3187,1754,1433
2000,62 anos,93387,41880,51507,90060,40070,49990,3327,1810,1517
2000,63 anos,89140,39456,49684,86000,37811,48189,3140,1645,1495
2000,64 anos,90287,39576,50711,87069,37834,49235,3218,1742,1476
2000,65 anos,90826,39768,51058,87491,38007,49484,3335,1761,1574
2000,66 anos,78292,33720,44572,75502,32268,43234,2790,1452,1338
2000,67 anos,76124,32323,43801,73414,30938,42476,2710,1385,1325
2000,68 anos,72825,31206,41619,70406,29940,40466,2419,1266,1153
2000,69 anos,70574,29833,40741,68286,28584,39702,2288,1249,1039
2000,70 anos,75165,31430,43735,72327,29921,42406,2838,1509,1329
2000,71 anos,60960,25401,35559,59057,24313,34744,1903,1088,815
2000,72 anos,60670,24791,35879,58647,23682,34965,2023,1109,914
2000,73 anos,55180,22275,32905,53365,21312,32053,1815,963,852
2000,74 anos,50457,20333,30124,48844,19482,29362,1613,851,762
2000,75 anos,47749,18975,28774,46200,18175,28025,1549,800,749
2000,76 anos,42337,16715,25622,40947,15969,24978,1390,746,644
2000,77 anos,37799,14696,23103,36641,14055,22586,1158,641,517
2000,78 anos,34336,13295,21041,33179,12698,20481,1157,597,560
2000,79 anos,28919,10962,17957,27981,10480,17501,938,482,456
2000,80 anos,28469,10308,18161,27499,9836,17663,970,472,498
2000,81 anos,21569,7817,13752,20930,7508,13422,639,309,330
2000,82 anos,21183,7530,13653,20542,7208,13334,641,322,319
2000,83 anos,18213,6270,11943,17634,5985,11649,579,285,294
2000,84 anos,16765,5687,11078,16222,5421,10801,543,266,277
2000,85 anos,14743,4764,9979,14281,4559,9722,462,205,257
2000,86 anos,12786,4102,8684,12362,3896,8466,424,206,218
2000,87 anos,10850,3436,7414,10524,3283,7241,326,153,173
2000,88 anos,8873,2878,5995,8566,2723,5843,307,155,152
2000,89 anos,7732,2410,5322,7477,2299,5178,255,111,144
2000,90 anos,6314,1869,4445,6078,1769,4309,236,100,136
2000,91 anos,3923,1191,2732,3794,1123,2671,129,68,61
2000,92 anos,3328,978,2350,3232,932,2300,96,46,50
2000,93 anos,2736,754,1982,2642,719,1923,94,35,59
2000,94 anos,2241,584,1657,2148,552,1596,93,32,61
2000,95 anos,1759,504,1255,1682,466,1216,77,38,39
2000,96 anos,1330,373,957,1270,350,920,60,23,37
2000,97 anos,998,299,699,961,283,678,37,16,21
2000,98 anos,852,237,615,809,222,587,43,15,28
2000,99 anos,703,214,489,664,197,467,39,17,22
2000,100 anos,2029,786,1243,1903,728,1175,126,58,68
