ano,idade,total_total,total_homens,total_mulheres,urbano_total,urbano_homens,urbano_mulheres,rural_total,rural_homens,rural_mulheres
2010,total,15989929,7625679,8364250,15464239,7354325,8109914,525690,271354,254336
2010,0 a 4 anos,987615,500802,486813,951421,482409,469012,36194,18393,17801
2010,5 a 9 anos,1092991,555463,537528,1051477,534355,517122,41514,21108,20406
2010,10 a 14 anos,1305033,662506,642527,1255376,637013,618363,49657,25493,24164
2010,15 a 19 anos,1270276,638420,631856,1223611,614498,609113,46665,23922,22743
2010,20 a 24 anos,1302789,646569,656220,1261366,625308,636058,41423,21261,20162
2010,25 a 29 anos,1364348,665139,699209,1323444,644336,679108,40904,20803,20101
2010,30 a 34 anos,1322771,637186,685585,1281539,616395,665144,41232,20791,20441
2010,35 a 39 anos,1190425,566803,623622,1151824,547154,604670,38601,19649,18952
2010,40 a 44 anos,1142871,542851,600020,1104854,523003,581851,38017,19848,18169
2010,45 a 49 anos,1101947,515808,586139,1067314,497509,569805,34633,18299,16334
2010,50 a 54 anos,999398,461682,537716,969061,445687,523374,30337,15995,14342
2010,55 a 59 anos,828857,374767,454090,803356,361103,442253,25501,13664,11837
2010,60 a 64 anos,653219,290089,363130,633343,279322,354021,19876,10767,9109
2010,65 a 69 anos,476867,206333,270534,461819,198250,263569,15048,8083,6965
2010,70 a 74 anos,376282,156157,220125,365150,150202,214948,11132,5955,5177
2010,75 a 79 anos,269399,104218,165181,262155,100528,161627,7244,3690,3554
2010,80 a 89 anos,263334,89742,173592,256726,86543,170183,6608,3199,3409
2010,90 a 99 anos,39760,10774,28986,38734,10362,28372,1026,412,614
2010,100 anos,1747,370,1377,1669,348,1321,78,22,56
2010,0 anos,195200,99210,95990,188216,95636,92580,6984,3574,3410
2010,1 anos,195529,99113,96416,188610,95576,93034,6919,3537,3382
2010,2 anos,193603,98225,95378,186482,94592,91890,7121,3633,3488
2010,3 anos,198854,100642,98212,191403,96934,94469,7451,3708,3743
2010,4 anos,204429,103612,100817,196710,99671,97039,7719,3941,3778
2010,5 anos,211707,107340,104367,203875,103392,100483,7832,3948,3884
2010,6 anos,210817,106921,103896,202755,102864,99891,8062,4057,4005
2010,7 anos,214073,109015,105058,206075,104898,101177,7998,4117,3881
2010,8 anos,217644,110966,106678,209132,106699,102433,8512,4267,4245
2010,9 anos,238750,121221,117529,229640,116502,113138,9110,4719,4391
2010,10 anos,269149,137449,131700,258988,132226,126762,10161,5223,4938
2010,11 anos,257969,131272,126697,248153,126184,121969,9816,5088,4728
2010,12 anos,260512,132212,128300,250553,127091,123462,9959,5121,4838
2010,13 anos,257239,130227,127012,247493,125264,122229,9746,4963,4783
2010,14 anos,260164,131346,128818,250189,126248,123941,9975,5098,4877
2010,15 anos,267264,134270,132994,256967,128977,127990,10297,5293,5004
2010,16 anos,255335,128708,126627,245917,123808,122109,9418,4900,4518
2010,17 anos,250588,126205,124383,241201,121395,119806,9387,4810,4577
2010,18 anos,248905,125020,123885,239968,120464,119504,8937,4556,4381
2010,19 anos,248184,124217,123967,239558,119854,119704,8626,4363,4263
2010,20 anos,260939,130183,130756,252214,125746,126468,8725,4437,4288
2010,21 anos,260735,129803,130932,252419,125542,126877,8316,4261,4055
2010,22 anos,262722,130523,132199,254205,126095,128110,8517,4428,4089
2010,23 anos,252628,125277,127351,244740,121214,123526,7888,4063,3825
2010,24 anos,265765,130783,134982,257788,126711,131077,7977,4072,3905
2010,25 anos,268593,132463,136130,260508,128345,132163,8085,4118,3967
2010,26 anos,256424,124547,131877,248606,120571,128035,7818,3976,3842
2010,27 anos,273394,132868,140526,265189,128692,136497,8205,4176,4029
2010,28 anos,284154,138755,145399,275743,134420,141323,8411,4335,4076
2010,29 anos,281783,136506,145277,273398,132308,141090,8385,4198,4187
2010,30 anos,303547,148365,155182,294209,143656,150553,9338,4709,4629
2010,31 anos,261938,125126,136812,254038,121200,132838,7900,3926,3974
2010,32 anos,265317,128530,136787,256961,124283,132678,8356,4247,4109
2010,33 anos,247586,119117,128469,239802,115161,124641,7784,3956,3828
2010,34 anos,244383,116048,128335,236529,112095,124434,7854,3953,3901
2010,35 anos,253669,122519,131150,245455,118282,127173,8214,4237,3977
2010,36 anos,231535,109901,121634,224050,106139,117911,7485,3762,3723
2010,37 anos,232926,109697,123229,225468,105990,119478,7458,3707,3751
2010,38 anos,234878,112557,122321,227191,108600,118591,7687,3957,3730
2010,39 anos,237417,112129,125288,229660,108143,121517,7757,3986,3771
2010,40 anos,257870,125070,132800,249179,120472,128707,8691,4598,4093
2010,41 anos,221192,104656,116536,213977,100959,113018,7215,3697,3518
2010,42 anos,230040,109994,120046,222144,105854,116290,7896,4140,3756
2010,43 anos,212148,99585,112563,205192,95994,109198,6956,3591,3365
2010,44 anos,221621,103546,118075,214362,99724,114638,7259,3822,3437
2010,45 anos,243040,116300,126740,235304,112101,123203,7736,4199,3537
2010,46 anos,223023,103519,119504,216102,99873,116229,6921,3646,3275
2010,47 anos,217427,101073,116354,210613,97547,113066,6814,3526,3288
2010,48 anos,208976,97979,110997,202481,94449,108032,6495,3530,2965
2010,49 anos,209481,96937,112544,202814,93539,109275,6667,3398,3269
2010,50 anos,228174,108252,119922,221055,104373,116682,7119,3879,3240
2010,51 anos,196652,90579,106073,190878,87619,103259,5774,2960,2814
2010,52 anos,200850,93003,107847,194719,89764,104955,6131,3239,2892
2010,53 anos,186941,85224,101717,181405,82348,99057,5536,2876,2660
2010,54 anos,186781,84624,102157,181004,81583,99421,5777,3041,2736
2010,55 anos,185311,84466,100845,179537,81416,98121,5774,3050,2724
2010,56 anos,174427,79214,95213,169221,76416,92805,5206,2798,2408
2010,57 anos,160745,71934,88811,155834,69355,86479,4911,2579,2332
2010,58 anos,157913,71548,86365,153085,68855,84230,4828,2693,2135
2010,59 anos,150461,67605,82856,145679,65061,80618,4782,2544,2238
2010,60 anos,161514,73038,88476,156466,70287,86179,5048,2751,2297
2010,61 anos,131148,58116,73032,127347,56047,71300,3801,2069,1732
2010,62 anos,129317,57733,71584,125386,55585,69801,3931,2148,1783
2010,63 anos,118749,52058,66691,115180,50157,65023,3569,1901,1668
2010,64 anos,112491,49144,63347,108964,47246,61718,3527,1898,1629
2010,65 anos,114366,50551,63815,110626,48537,62089,3740,2014,1726
2010,66 anos,96955,41997,54958,93917,40379,53538,3038,1618,1420
2010,67 anos,93636,40198,53438,90607,38578,52029,3029,1620,1409
2010,68 anos,88413,37986,50427,85726,36546,49180,2687,1440,1247
2010,69 anos,83497,35601,47896,80943,34210,46733,2554,1391,1163
2010,70 anos,89771,38237,51534,86908,36699,50209,2863,1538,1325
2010,71 anos,75391,31747,43644,73186,30595,42591,2205,1152,1053
2010,72 anos,74350,31003,43347,72156,29816,42340,2194,1187,1007
2010,73 anos,67657,27384,40273,65773,26387,39386,1884,997,887
2010,74 anos,69113,27786,41327,67127,26705,40422,1986,1081,905
2010,75 anos,63988,25782,38206,62243,24862,37381,1745,920,825
2010,76 anos,55843,21822,34021,54339,21063,33276,1504,759,745
2010,77 anos,52115,19886,32229,50641,19179,31462,1474,707,767
2010,78 anos,49838,18964,30874,48493,18260,30233,1345,704,641
2010,79 anos,47615,17764,29851,46439,17164,29275,1176,600,576
2010,80 anos,48926,17711,31215,47624,17070,30554,1302,641,661
2010,81 anos,37495,13427,24068,36544,12956,23588,951,471,480
2010,82 anos,34991,12224,22767,34115,11795,22320,876,429,447
2010,83 anos,30718,10479,20239,29949,10112,19837,769,367,402
2010,84 anos,26518,9022,17496,25880,8702,17178,638,320,318
2010,85 anos,23392,7643,15749,22879,7410,15469,513,233,280
2010,86 anos,20016,6387,13629,19539,6154,13385,477,233,244
2010,87 anos,16664,5274,11390,16256,5073,11183,408,201,207
2010,88 anos,13452,4183,9269,13096,4015,9081,356,168,188
2010,89 anos,11162,3392,7770,10844,3256,7588,318,136,182
2010,90 anos,10230,2967,7263,9960,2854,7106,270,113,157
2010,91 anos,7130,2188,4942,6962,2111,4851,168,77,91
2010,92 anos,5853,1541,4312,5708,1488,4220,145,53,92
2010,93 anos,4594,1185,3409,4472,1142,3330,122,43,79
2010,94 anos,3495,868,2627,3409,831,2578,86,37,49
2010,95 anos,2747,681,2066,2669,655,2014,78,26,52
2010,96 anos,2080,480,1600,2027,461,1566,53,19,34
2010,97 anos,1607,405,1202,1563,381,1182,44,24,20
2010,98 anos,1161,276,885,1122,261,861,39,15,24
2010,99 anos,863,183,680,842,178,664,21,5,16
2010,100 anos,1747,370,1377,1669,348,1321,78,22,56
